measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,World Bank High Income,Both,15-19 years,All causes,All risk factors,Percent,2000,0.11758639292931655,0.14105423255225824,0.09517033189045837
Deaths,World Bank High Income,Male,15-19 years,All causes,All risk factors,Rate,2000,9.098952948198765,10.96814493282921,7.299049767995674
Deaths,World Bank High Income,Female,15-19 years,All causes,All risk factors,Rate,2000,3.3003912317718993,3.9725917011996446,2.658005711965692
Deaths,World Bank High Income,Both,15-19 years,All causes,All risk factors,Rate,2000,6.278402893202794,7.520717232092397,5.084058132361409
Deaths,World Bank High Income,Male,20-54 years,All causes,All risk factors,Number,2000,393470.2322461597,405287.70139749104,380982.9026180797
Deaths,World Bank High Income,Female,20-54 years,All causes,All risk factors,Number,2000,151972.41415288323,157231.54174249535,146968.55324416645
Deaths,World Bank High Income,Both,20-54 years,All causes,All risk factors,Number,2000,545442.6463990426,561558.6253691538,529357.3536621182
Deaths,World Bank High Income,Male,20-54 years,All causes,All risk factors,Percent,2000,0.5721774165224329,0.5898500239798895,0.5538621282409059
Deaths,World Bank High Income,Female,20-54 years,All causes,All risk factors,Percent,2000,0.4570144991240207,0.47334616920952355,0.44166387152178244
Deaths,World Bank High Income,Both,20-54 years,All causes,All risk factors,Percent,2000,0.5346404357300886,0.5506496655689207,0.5181925713483939
Deaths,World Bank High Income,Male,20-54 years,All causes,All risk factors,Rate,2000,145.47940959292401,149.8487323373769,140.86241650728502
Deaths,World Bank High Income,Female,20-54 years,All causes,All risk factors,Rate,2000,57.390792110261806,59.37684661797752,55.50113639371885
Deaths,World Bank High Income,Both,20-54 years,All causes,All risk factors,Rate,2000,101.90097779326703,104.91180583539366,98.89588263100788
Deaths,World Bank High Income,Male,All ages,All causes,All risk factors,Number,2000,2932956.584188113,3012999.8194945217,2854610.7445803913
Deaths,World Bank High Income,Female,All ages,All causes,All risk factors,Number,2000,2606586.8248383026,2739160.584957175,2438126.30229736
Deaths,World Bank High Income,Both,All ages,All causes,All risk factors,Number,2000,5539543.409026416,5743072.890690777,5305747.042395233
Deaths,World Bank High Income,Male,All ages,All causes,All risk factors,Percent,2000,0.6473003830066315,0.6648130695330676,0.6303599118482767
Deaths,World Bank High Income,Female,All ages,All causes,All risk factors,Percent,2000,0.5914596253936449,0.6216985922746722,0.5532621999110932
Deaths,World Bank High Income,Both,All ages,All causes,All risk factors,Percent,2000,0.6197674704109314,0.642175264005597,0.5940703044824757
Deaths,World Bank High Income,Male,All ages,All causes,All risk factors,Rate,2000,560.377151749453,575.6703887716544,545.4082228919707
Deaths,World Bank High Income,Female,All ages,All causes,All risk factors,Rate,2000,483.3201626082741,507.9023367709233,452.08377087495217
Deaths,World Bank High Income,Both,All ages,All causes,All risk factors,Rate,2000,521.2715166511036,540.4236585798983,499.27125821414063
Deaths,Lebanon,Both,55+ years,All causes,All risk factors,Rate,2000,2171.7568890263665,2425.483639603893,1985.7138394507863
Deaths,Lebanon,Male,20-54 years,All causes,All risk factors,Number,2000,977.7447655932382,1116.8244160960448,837.6591855156934
Deaths,Lebanon,Female,20-54 years,All causes,All risk factors,Number,2000,532.0730785574976,638.4411353668112,435.40019588510893
Deaths,Lebanon,Both,20-54 years,All causes,All risk factors,Number,2000,1509.8178441507375,1737.5409871674074,1284.3628342317368
Deaths,Lebanon,Male,20-54 years,All causes,All risk factors,Percent,2000,0.6189140300299298,0.6575622342828749,0.5800464308629139
Deaths,Lebanon,Female,20-54 years,All causes,All risk factors,Percent,2000,0.4504745761187712,0.49110652844426705,0.404117388424093
Deaths,Lebanon,Both,20-54 years,All causes,All risk factors,Percent,2000,0.5469236821543308,0.5793988568758744,0.5087524130073019
Deaths,Lebanon,Male,20-54 years,All causes,All risk factors,Rate,2000,126.75040765884205,144.78006429176116,108.59034686712727
Deaths,Lebanon,Female,20-54 years,All causes,All risk factors,Rate,2000,64.37185686284053,77.24059539453036,52.67607066975529
Deaths,Lebanon,Both,20-54 years,All causes,All risk factors,Rate,2000,94.48435279317034,108.7352598594194,80.37538542422475
Deaths,World Bank Low Income,Male,15-19 years,All causes,All risk factors,Number,2000,13420.256219998639,16602.94701236996,11274.33915485069
Deaths,World Bank Low Income,Female,15-19 years,All causes,All risk factors,Number,2000,15508.439797662108,22104.674625451615,11232.506055265974
Deaths,World Bank Low Income,Both,15-19 years,All causes,All risk factors,Number,2000,28928.69601766074,36947.77206829567,23102.449786679823
Deaths,World Bank Low Income,Male,15-19 years,All causes,All risk factors,Percent,2000,0.2321319093649226,0.284665771341053,0.1974295881005791
Deaths,World Bank Low Income,Female,15-19 years,All causes,All risk factors,Percent,2000,0.3472050609736917,0.43494195141451525,0.27082509018521006
Deaths,World Bank Low Income,Both,15-19 years,All causes,All risk factors,Percent,2000,0.28239751363276566,0.33623833360134453,0.23741588784806056
Deaths,World Bank Low Income,Male,15-19 years,All causes,All risk factors,Rate,2000,59.106076319448476,73.12342157659616,49.65493501867122
Deaths,World Bank Low Income,Female,15-19 years,All causes,All risk factors,Rate,2000,66.7974388555087,95.20852329304621,48.380278494156926
Deaths,World Bank Low Income,Both,15-19 years,All causes,All risk factors,Rate,2000,62.99461237211451,80.4568093229848,50.30748251734764
Deaths,Lebanon,Male,All ages,All causes,All risk factors,Number,2000,8261.282940255607,9403.463226699547,7373.733175041225
Deaths,Lebanon,Female,All ages,All causes,All risk factors,Number,2000,6108.400155341718,6662.128343695284,5557.716658103409
Deaths,Lebanon,Both,All ages,All causes,All risk factors,Number,2000,14369.683095597304,16021.32376349659,13015.04954263074
Deaths,Lebanon,Male,All ages,All causes,All risk factors,Percent,2000,0.6892107204988485,0.7114637026485245,0.6605207226476199
Deaths,Lebanon,Female,All ages,All causes,All risk factors,Percent,2000,0.634000115731299,0.6645440026380723,0.5913987964899758
Deaths,Lebanon,Both,All ages,All causes,All risk factors,Percent,2000,0.6646085975169583,0.6884256691118831,0.6319181265326342
Deaths,Lebanon,Male,All ages,All causes,All risk factors,Rate,2000,443.6555910505167,504.99408698791143,395.99151532274016
Deaths,Lebanon,Female,All ages,All causes,All risk factors,Rate,2000,331.8953445809284,361.98175071086575,301.9743694609362
Deaths,Lebanon,Both,All ages,All causes,All risk factors,Rate,2000,388.1019750980586,432.7101269340847,351.5155066322713
Deaths,World Bank High Income,Male,0-14 years,All causes,All risk factors,Number,2000,22893.66617636666,24233.91450772344,21453.26270000945
Deaths,World Bank High Income,Female,0-14 years,All causes,All risk factors,Number,2000,17696.66085959085,18669.431462899716,16584.496201445894
Deaths,World Bank High Income,Both,0-14 years,All causes,All risk factors,Number,2000,40590.32703595755,42689.99253018159,38359.10872292778
Deaths,World Bank High Income,Male,0-14 years,All causes,All risk factors,Percent,2000,0.3231074307205286,0.3370063210662861,0.30440608969957167
Deaths,World Bank High Income,Female,0-14 years,All causes,All risk factors,Percent,2000,0.32397484393196835,0.33728580064099994,0.3051349382720159
Deaths,World Bank High Income,Both,0-14 years,All causes,All risk factors,Percent,2000,0.3234848435887959,0.3340892185167209,0.3072466696918827
Deaths,World Bank High Income,Male,0-14 years,All causes,All risk factors,Rate,2000,21.871036913849284,23.151418155674513,20.494974322582593
Deaths,World Bank High Income,Female,0-14 years,All causes,All risk factors,Rate,2000,17.809556531958325,18.7885329156792,16.690296830411658
Deaths,World Bank High Income,Both,0-14 years,All causes,All risk factors,Rate,2000,19.893141167044973,20.9221780122808,18.799630862575707
Deaths,Lebanon,Male,0-14 years,All causes,All risk factors,Number,2000,489.50310261691834,645.7919021562001,356.40521509784656
Deaths,Lebanon,Female,0-14 years,All causes,All risk factors,Number,2000,433.40161628574293,554.5020798451776,322.90544362367416
Deaths,Lebanon,Both,0-14 years,All causes,All risk factors,Number,2000,922.9047189026619,1188.7806531177448,693.6743012542466
Deaths,Lebanon,Male,0-14 years,All causes,All risk factors,Percent,2000,0.42643170710654005,0.47940231768661407,0.35319030976200005
Deaths,Lebanon,Female,0-14 years,All causes,All risk factors,Percent,2000,0.428061949650041,0.48557409271588425,0.35680769435374166
Deaths,Lebanon,Both,0-14 years,All causes,All risk factors,Percent,2000,0.4272335874958886,0.47216290236734293,0.3693726867280346
Deaths,Lebanon,Male,0-14 years,All causes,All risk factors,Rate,2000,77.9750445104313,102.8709563757632,56.773312288386435
Deaths,Lebanon,Female,0-14 years,All causes,All risk factors,Rate,2000,75.40997339018502,96.48092096259825,56.18412575358958
Deaths,Lebanon,Both,0-14 years,All causes,All risk factors,Rate,2000,76.74908121285686,98.85941746932349,57.686199010375866
Deaths,World Bank Lower Middle Income,Male,0-14 years,All causes,All risk factors,Number,2001,1980536.247648294,2164708.0387568837,1793066.0116060742
Deaths,World Bank Lower Middle Income,Female,0-14 years,All causes,All risk factors,Number,2001,1752329.7307580495,1907327.8076238143,1604098.9518076798
Deaths,World Bank Lower Middle Income,Both,0-14 years,All causes,All risk factors,Number,2001,3732865.9784063427,4067892.572765177,3415095.430198352
Deaths,World Bank Lower Middle Income,Male,0-14 years,All causes,All risk factors,Percent,2001,0.6095755153005851,0.638590230187245,0.575063538491839
Deaths,World Bank Lower Middle Income,Female,0-14 years,All causes,All risk factors,Percent,2001,0.6009408015596139,0.6344497567862661,0.5689280789198234
Deaths,World Bank Lower Middle Income,Both,0-14 years,All causes,All risk factors,Percent,2001,0.605492232962192,0.6358785560642701,0.5756042273273866
Deaths,World Bank Lower Middle Income,Male,0-14 years,All causes,All risk factors,Rate,2001,444.43233393424094,485.76048385547045,402.3640129699664
Deaths,World Bank Lower Middle Income,Female,0-14 years,All causes,All risk factors,Rate,2001,423.46829291495465,460.92515383750094,387.64681832728564
Deaths,World Bank Lower Middle Income,Both,0-14 years,All causes,All risk factors,Rate,2001,434.3385066737704,473.3206055574646,397.3642391345726
Deaths,Lebanon,Male,15-19 years,All causes,All risk factors,Number,2001,15.737282514385754,21.297284879827334,11.562353584822318
Deaths,Lebanon,Female,15-19 years,All causes,All risk factors,Number,2001,7.320814785225356,9.814413135103287,5.241734037274303
Deaths,Lebanon,Both,15-19 years,All causes,All risk factors,Number,2001,23.058097299611127,29.295412342865035,18.048594076085916
Deaths,Lebanon,Male,15-19 years,All causes,All risk factors,Percent,2001,0.11372926498064632,0.15506788609234587,0.08109755160275751
Deaths,Lebanon,Female,15-19 years,All causes,All risk factors,Percent,2001,0.1176165761496178,0.1494076121982017,0.09107420203326755
Deaths,Lebanon,Both,15-19 years,All causes,All risk factors,Percent,2001,0.11495475864695626,0.14395038883409011,0.09065686787168768
Deaths,Lebanon,Male,15-19 years,All causes,All risk factors,Rate,2001,8.35339057346433,11.304654319632876,6.13732741686667
Deaths,Lebanon,Female,15-19 years,All causes,All risk factors,Rate,2001,4.340912225905863,5.819503322805273,3.1081113284373965
Deaths,Lebanon,Both,15-19 years,All causes,All risk factors,Rate,2001,6.458111429507181,8.20505850180332,5.0550498670708555
Deaths,World Bank Low Income,Male,20-54 years,All causes,All risk factors,Number,2000,375724.3888584416,444539.82772564644,310296.2356153398
Deaths,World Bank Low Income,Female,20-54 years,All causes,All risk factors,Number,2000,441914.4103780406,551527.7388251951,345537.9719298031
Deaths,World Bank Low Income,Both,20-54 years,All causes,All risk factors,Number,2000,817638.7992364815,995984.3509021964,659557.307338329
Deaths,World Bank Low Income,Male,20-54 years,All causes,All risk factors,Percent,2000,0.5793702593074256,0.6275023929077669,0.5307081723820649
Deaths,World Bank Low Income,Female,20-54 years,All causes,All risk factors,Percent,2000,0.6675198943940573,0.7202474913107252,0.6092761331186753
Deaths,World Bank Low Income,Both,20-54 years,All causes,All risk factors,Percent,2000,0.6238521511087931,0.6735076201047822,0.5704513846214091
Deaths,World Bank Low Income,Male,20-54 years,All causes,All risk factors,Rate,2000,486.02561529942193,575.043169148274,401.3897508709777
Deaths,World Bank Low Income,Female,20-54 years,All causes,All risk factors,Rate,2000,534.9165890746774,667.5983627238203,418.25744759568545
Deaths,World Bank Low Income,Both,20-54 years,All causes,All risk factors,Rate,2000,511.282526860173,622.804832791675,412.431659334086
Deaths,Lebanon,Male,55+ years,All causes,All risk factors,Number,2000,6778.611319493175,7817.392593525534,6048.614457602147
Deaths,Lebanon,Female,55+ years,All causes,All risk factors,Number,2000,5135.08024876373,5576.538631147967,4722.118026407613
Deaths,Lebanon,Both,55+ years,All causes,All risk factors,Number,2000,11913.691568256905,13305.570311347648,10893.107946645794
Deaths,Lebanon,Male,55+ years,All causes,All risk factors,Percent,2000,0.7439439165083119,0.7668345998108458,0.7128228033207716
Deaths,Lebanon,Female,55+ years,All causes,All risk factors,Percent,2000,0.6960540120085288,0.7316728260867718,0.6471453618279396
Deaths,Lebanon,Both,55+ years,All causes,All risk factors,Percent,2000,0.7225039019566953,0.7479520448384006,0.687155797528828
Deaths,Lebanon,Male,55+ years,All causes,All risk factors,Rate,2000,2460.5991530525453,2837.6711229028456,2195.61425047601
Deaths,Lebanon,Female,55+ years,All causes,All risk factors,Rate,2000,1880.3777408337035,2042.0321796206367,1729.1581039233333
Deaths,World Bank High Income,Male,All ages,All causes,All risk factors,Number,2001,2920303.153818029,3001567.5248758267,2841435.6787522016
Deaths,World Bank High Income,Female,All ages,All causes,All risk factors,Number,2001,2597953.8758985866,2732196.8903408893,2427103.7484543556
Deaths,World Bank High Income,Both,All ages,All causes,All risk factors,Number,2001,5518257.029716616,5724797.365629883,5285113.358988154
Deaths,World Bank High Income,Male,All ages,All causes,All risk factors,Percent,2001,0.6436828727532982,0.6614528175606263,0.626547220169085
Deaths,World Bank High Income,Female,All ages,All causes,All risk factors,Percent,2001,0.588022897698442,0.6185600011102644,0.5495168753673538
Deaths,World Bank High Income,Both,All ages,All causes,All risk factors,Percent,2001,0.6162219916330325,0.6389458052017685,0.5900970400815301
Deaths,World Bank High Income,Male,All ages,All causes,All risk factors,Rate,2001,554.154106241591,569.5747603794817,539.1882849365343
Deaths,World Bank High Income,Female,All ages,All causes,All risk factors,Rate,2001,478.7065511449174,503.4425601461334,447.2252088354012
Deaths,World Bank High Income,Both,All ages,All causes,All risk factors,Rate,2001,515.8759842976359,535.1844721974637,494.08047532222605
Deaths,World Bank Upper Middle Income,Female,0-14 years,All causes,All risk factors,Rate,2001,94.7055028510905,102.38397658134781,87.28867117505158
Deaths,World Bank Upper Middle Income,Both,0-14 years,All causes,All risk factors,Rate,2001,104.24734116827086,113.20540297027661,95.54028805303207
Deaths,World Bank Lower Middle Income,Male,0-14 years,All causes,All risk factors,Number,2000,2027913.7407033485,2221197.5984284077,1842480.0567473825
Deaths,World Bank Lower Middle Income,Female,0-14 years,All causes,All risk factors,Number,2000,1802343.665531246,1957409.562514715,1657447.3945645473
Deaths,World Bank Lower Middle Income,Both,0-14 years,All causes,All risk factors,Number,2000,3830257.406234594,4172063.555447169,3506981.240397282
Deaths,World Bank Lower Middle Income,Male,0-14 years,All causes,All risk factors,Percent,2000,0.6140376436536308,0.6437198264409628,0.578766485486945
Deaths,World Bank Lower Middle Income,Female,0-14 years,All causes,All risk factors,Percent,2000,0.6041869105540498,0.6355025063940027,0.5719791093244482
Deaths,World Bank Lower Middle Income,Both,0-14 years,All causes,All risk factors,Percent,2000,0.6093628838226185,0.63989645807322,0.5806029614087627
Deaths,World Bank Lower Middle Income,Male,0-14 years,All causes,All risk factors,Rate,2000,458.91679972467796,502.65692912232157,416.9531643420829
Deaths,World Bank Lower Middle Income,Female,0-14 years,All causes,All risk factors,Rate,2000,439.2083714881385,476.99597070683785,403.8989815959336
Deaths,World Bank Lower Middle Income,Both,0-14 years,All causes,All risk factors,Rate,2000,449.42714685776593,489.5333188787388,411.49520927495786
Deaths,Lebanon,Both,55+ years,All causes,All risk factors,Rate,2002,2190.5755765101476,2420.109960914553,1999.4956147927603
Deaths,Lebanon,Male,20-54 years,All causes,All risk factors,Number,2002,967.2184265482551,1104.2548097242075,833.4857116733085
Deaths,Lebanon,Female,20-54 years,All causes,All risk factors,Number,2002,512.907116329908,612.6770393628989,418.16488813129007
Deaths,Lebanon,Both,20-54 years,All causes,All risk factors,Number,2002,1480.125542878162,1707.8774406101697,1273.0386487099017
Deaths,Lebanon,Male,20-54 years,All causes,All risk factors,Percent,2002,0.6364757284048221,0.6756011271788382,0.5949347281234304
Deaths,Lebanon,Female,20-54 years,All causes,All risk factors,Percent,2002,0.44310492871123647,0.48412568343150875,0.3950989829046186
Deaths,Lebanon,Both,20-54 years,All causes,All risk factors,Percent,2002,0.5529277416881974,0.5870603792046382,0.5132049020953579
Deaths,Lebanon,Male,20-54 years,All causes,All risk factors,Rate,2002,121.4480333436972,138.65490076520248,104.65598847619246
Deaths,Lebanon,Female,20-54 years,All causes,All risk factors,Rate,2002,59.65662167200495,71.26093824926969,48.63708015257657
Deaths,Lebanon,Both,20-54 years,All causes,All risk factors,Rate,2002,89.3703448118154,103.12206048876753,76.86638713952435
Deaths,World Bank Lower Middle Income,Male,All ages,All causes,All risk factors,Number,2000,6631151.963564832,6964986.098386476,6318629.16305056
Deaths,World Bank Lower Middle Income,Female,All ages,All causes,All risk factors,Number,2000,5287646.476692697,5579772.0854424,5009492.876444773
Deaths,World Bank Lower Middle Income,Both,All ages,All causes,All risk factors,Number,2000,11918798.44025753,12440836.07059343,11408678.902010426
Deaths,World Bank Lower Middle Income,Male,All ages,All causes,All risk factors,Percent,2000,0.6261168532136299,0.6470660761048346,0.6107257619178253
Deaths,World Bank Lower Middle Income,Female,All ages,All causes,All risk factors,Percent,2000,0.5896838710513519,0.6155942622311501,0.5651077602404622
Deaths,World Bank Lower Middle Income,Both,All ages,All causes,All risk factors,Percent,2000,0.6094111431345286,0.626572533796461,0.59274867500993
Deaths,World Bank Lower Middle Income,Male,All ages,All causes,All risk factors,Rate,2000,560.0894926873549,588.2862512960135,533.6927613569547
Deaths,World Bank Lower Middle Income,Female,All ages,All causes,All risk factors,Rate,2000,464.696589112085,490.369594025831,440.25149244115556
Deaths,World Bank Lower Middle Income,Both,All ages,All causes,All risk factors,Rate,2000,513.3395340292958,535.8235583414471,491.36881882879976
Deaths,World Bank Lower Middle Income,Male,55+ years,All causes,All risk factors,Number,2000,3256726.651620404,3436887.3321148027,3107131.6342678117
Deaths,World Bank Lower Middle Income,Female,55+ years,All causes,All risk factors,Number,2000,2666388.992895637,2815751.7372300327,2506465.7368858093
Deaths,World Bank Lower Middle Income,Both,55+ years,All causes,All risk factors,Number,2000,5923115.644516043,6166002.051211637,5683072.425950244
Deaths,World Bank Lower Middle Income,Male,55+ years,All causes,All risk factors,Percent,2000,0.6964647741510165,0.7245351249880588,0.6751107399316122
Deaths,World Bank Lower Middle Income,Female,55+ years,All causes,All risk factors,Percent,2000,0.6563455012801288,0.6891230007339506,0.6204994267813171
Deaths,World Bank Lower Middle Income,Both,55+ years,All causes,All risk factors,Percent,2000,0.6778134248395931,0.6994788108733866,0.6549229822443079
Deaths,World Bank Lower Middle Income,Male,55+ years,All causes,All risk factors,Rate,2000,1741.022387856082,1837.3349776757013,1661.0499793050012
Deaths,World Bank Lower Middle Income,Female,55+ years,All causes,All risk factors,Rate,2000,1321.9204777747336,1395.9703147933906,1242.6350368450414
Deaths,World Bank Lower Middle Income,Both,55+ years,All causes,All risk factors,Rate,2000,1523.5762055451914,1586.0527756649042,1461.8309758284715
Deaths,World Bank High Income,Male,15-19 years,All causes,All risk factors,Number,2002,3257.4734265570078,3910.667798243908,2623.8801659497385
Deaths,World Bank High Income,Female,15-19 years,All causes,All risk factors,Number,2002,1150.537127268505,1366.9267088675442,934.7694882500491
Deaths,World Bank High Income,Both,15-19 years,All causes,All risk factors,Number,2002,4408.010553825513,5249.536332342257,3596.4905299869865
Deaths,World Bank High Income,Male,15-19 years,All causes,All risk factors,Percent,2002,0.12484129097697892,0.15017588473494078,0.10073350014608135
Deaths,World Bank High Income,Female,15-19 years,All causes,All risk factors,Percent,2002,0.10790545837286201,0.128479188010865,0.08761824135675383
Deaths,World Bank High Income,Both,15-19 years,All causes,All risk factors,Percent,2002,0.11992845416504402,0.14330530733515967,0.09787765954070722
Deaths,World Bank High Income,Male,15-19 years,All causes,All risk factors,Rate,2002,8.797434224598275,10.561511399854625,7.0862936240646155
Deaths,World Bank High Income,Female,15-19 years,All causes,All risk factors,Rate,2002,3.2807703351009696,3.897807806825567,2.6655063400597014
Deaths,World Bank High Income,Both,15-19 years,All causes,All risk factors,Rate,2002,6.1140292544124035,7.281248154042377,4.988429143953454
Deaths,Lebanon,Male,All ages,All causes,All risk factors,Number,2003,9144.20009499916,10284.774125238491,8127.049168779151
Deaths,Lebanon,Female,All ages,All causes,All risk factors,Number,2003,6494.41201918519,7054.3407667209185,5835.926472507219
Deaths,Lebanon,Both,All ages,All causes,All risk factors,Number,2003,15638.61211418435,17056.008016156607,14252.293350288504
Deaths,Lebanon,Male,All ages,All causes,All risk factors,Percent,2003,0.6987567087625695,0.7222229542162709,0.6636067889569919
Deaths,Lebanon,Female,All ages,All causes,All risk factors,Percent,2003,0.6365960044697533,0.6680209907335254,0.5880743679992892
Deaths,Lebanon,Both,All ages,All causes,All risk factors,Percent,2003,0.6715338176863122,0.6954495373716619,0.6341418659883091
Deaths,Lebanon,Male,All ages,All causes,All risk factors,Rate,2003,479.48968179831456,539.2973711691948,426.15386577425215
Deaths,Lebanon,Female,All ages,All causes,All risk factors,Rate,2003,340.7626478027678,370.1421823976649,306.21182507039873
Deaths,Lebanon,Both,All ages,All causes,All risk factors,Rate,2003,410.14841325589765,447.3219601093332,373.78991563940934
